Sector,2020,2030,2040
Total Employment,145953,163304,170155
Health Care & Social Assistance,28464,34330,37901
Educational Services,23039,26094,27389
Retail Trade,13427,12436,11835
Public Administration,11836,12540,13204
Administrative & Waste Management,10902,12591,13387
Accommodation & Food Services,8168,8989,8517
"Professional, Scientific & Tech Services",7416,8521,9257
Construction,5925,8095,8731
Manufacturing,5662,5564,5508
Other Services,5587,6572,6034
Finance & Insurance,4975,5218,5373
Wholesale Trade,4890,5365,5708
Transportation & Warehousing,4028,4978,5295
Information,3677,3630,3576
Management of Companies,3643,3999,4323
"Real Estate, Rental & Leasing",2980,3064,2902
"Arts, Entertainment & Recreation",752,779,753
Utilities,569,530,451
"Agriculture, Forestry, Fishing & Hunting",8,6,7
"Mining, Quarrying, Oil & Gas",4,3,3
